0,1,2,3,4,6,7,8,accession_number,company_name,report_period,filed_date,cik
12.,Weighted Average Coupon,,,,8.76,8.76,%,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
13.,Weighted Average Original Term,months,months,,66.80,66.80,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
14.,Weighted Average Remaining Term,months,months,,53.53,53.53,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
15.,1-Month LIBOR for the interest period ending 11/14/2019,,,,0.17475,0.17475,%,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
16.,Note Rate applicable to the Class A-2b notes for the interest period ending 11/14/2019,,,,0.47475,0.47475,%,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
Collections,Collections,,,,,,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
17.,Finance Charges:,,,,,,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
,a. Collections allocable to Finance Charge,,,,$,8571680.22,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
,b. Liquidation Proceeds allocable to Finance Charge,,,,$,5934.00,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
,c. Purchase Amount allocable to Finance Charge,,,,$,0.00,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
,d. Available Finance Charge Collections (sum a - c),,,,$,8577614.22,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
18.,Principal:,,,,,,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
,a. Collections allocable to Principal,,,,$,38433886.92,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
,b. Liquidation Proceeds allocable to Principal,,,,$,510292.89,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
,c. Purchase Amount allocable to Principal,,,,$,0.00,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
,d. Available Principal Collections (sum a - c),,,,$,38944179.81,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
19.,Total Finance Charge and Principal Collections (17d + 18d),,,,$,47521794.03,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
20.,Interest Income from Collection Account,,,,$,2439.58,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
21.,Simple Interest Advances,,,,$,0.00,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
22.,Available Collections (Ln19 + 20 + 21),,,,$,47524233.61,,0001788503-20-000043,CarMax Auto Owner Trust 2019-4,20200731,20200817,0001788503
